Data_Hora,Instancia,Algoritmo,Parametros_Algoritmo,Semente_Mestra,Tempo_Medio_ms,Media_NetProfit,Media_Custo_Equivalente,LB_Cost_Paper,Gap(%),Melhor_NetProfit,Melhor_Custo_Equivalente,Alpha_Melhor_Custo
2026-07-13 15:43:55,K400.1,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.12039,7212.08,515426.92,490771,0.674,28561,494078,0.100000
2026-07-13 15:43:55,K400.1,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.11991,7474.43,515164.57,490771,0.674,28561,494078,0.300000
2026-07-13 15:43:55,K400.1,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.11749,6314.05,516324.95,490771,1.011,26905,495734,0.500000
2026-07-13 15:43:55,K400.1,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.12555,7244.34,515394.66,490771,1.011,26905,495734,0.800000
2026-07-13 15:43:55,K400.1,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.81136,6903.71,515735.29,490771,0.674,28561,494078,0.500000
2026-07-13 15:43:55,K400.5,Guloso Puro,"N/A",2537033304,0.00367,9602.70,562616.30,519526,6.111,20946,551273,N/A
2026-07-13 15:43:55,K400.5,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.12037,7962.55,564256.45,519526,4.555,29027,543192,0.100000
2026-07-13 15:43:55,K400.5,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.12285,7484.45,564734.55,519526,3.384,35110,537109,0.300000
2026-07-13 15:43:55,K400.5,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.12046,7677.48,564541.52,519526,4.555,29027,543192,0.500000
2026-07-13 15:43:55,K400.5,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.11077,6943.82,565275.18,519526,3.449,34772,537447,0.800000
2026-07-13 15:43:55,K400.5,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.90823,7656.16,564562.84,519526,3.384,35110,537109,0.500000
2026-07-13 15:43:55,K100.4,Guloso Puro,"N/A",2537033304,0.00128,6319.90,111167.10,87498,5.847,24873,92614,N/A
2026-07-13 15:43:55,K100.4,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.06244,4744.53,112742.47,87498,0.000,29989,87498,0.100000
2026-07-13 15:43:55,K100.4,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.05988,5014.16,112472.84,87498,0.000,29989,87498,0.300000
2026-07-13 15:43:55,K100.4,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.05582,5266.27,112220.73,87498,0.755,29328,88159,0.500000
2026-07-13 15:43:55,K100.4,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.05622,4180.47,113306.53,87498,0.000,29989,87498,0.800000
2026-07-13 15:43:55,K100.4,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.23108,5100.61,112386.39,87498,0.000,29989,87498,0.300000
